Магазин;Номер чека;Дата;Товар;Характеристика;Артикул;Кількість;Ціна;Сума
Respublika;НФНФ-W04493;01.03.2026 12:38:10;Бюстгальтер демі Lightly Lined Smooth;лео принт, 38, D;423-896-SPH-38D;1,0;3450,0;2950,0
Respublika;НФНФ-W04494;01.03.2026 12:56:42;Бюстгальтер пуш-ап Rose Lace Very Sexy;Бежевий, 34, A;419-226-SEQ-34A;1,0;3490,0;3490,0
Respublika;НФНФ-W04501;01.03.2026 14:58:41;Бюстгальтер пуш-ап Smooth Very Sexy;білий, 34, C;422-002-QBF-34C;1,0;3450,0;3450,0
Respublika;НФНФ-W04531;03.03.2026 12:31:31;Бюстгальтер пуш-ап Logo Shine Very Shine;чорний, 34, D;422-626-QC5-34D;1,0;4250,0;4250,0
Respublika;НФНФ-W04531;03.03.2026 12:31:31;Бюстгальтер демі без кісточок The T-Shirt;білий, 34, D;417-548-QBF-34D;1,0;2750,0;2750,0
Respublika;НФНФ-W04532;03.03.2026 12:50:50;Бюстгальтер пуш-ап Rose Lace Very Sexy;Бежевий, 34, D;419-226-SEQ-34D;1,0;3490,0;3174,37
Respublika;НФНФ-W04532;03.03.2026 12:50:50;Бюстгальтер пуш-ап Sparkle Crystal Shine Cradle;чорний, 34, D;431-022-QB4-34D;1,0;4250,0;3865,63
Respublika;НФНФ-W04543;04.03.2026 14:50:59;Боді балконет Sheer Rose Dot;S, Бежевий;423-949-QFC-S;1,0;4490,0;4490,0
Respublika;НФНФ-W04577;06.03.2026 14:09:49;Корсет топ Rose Lace & Grommet Strappy;чорний, XS;193-093-QB4-XS;1,0;3990,0;3192,0
Respublika;НФНФ-W04584;06.03.2026 17:52:51;Бюстгальтер подвійний пуш-ап VS Shine;червоний, 34, B;904-534-QD4-34B;1,0;4250,0;4250,0
Respublika;НФНФ-W04596;07.03.2026 13:20:45;Бюстгальтер пуш-ап Logo Shine Very Shine;чорний, 34, C;422-626-QC5-34C;1,0;4250,0;4250,0
Respublika;НФНФ-W04635;07.03.2026 19:13:17;Бюстгалтер подвійний пуш-ап Bombshell Smooth Very Sexy;Бежевий, 32, C;422-003-SFX-32C;1,0;3450,0;2760,0
Respublika;НФНФ-W04647;08.03.2026 10:37:27;Бюстгальтер пуш-ап Logo Shine Very Shine;чорний, 34, B;422-626-QC5-34B;1,0;4250,0;4250,0
Respublika;НФНФ-W04655;08.03.2026 12:44:56;Бюстгальтер пуш-ап Sparkle Crystal Shine Cradle;чорний, 34, B;431-022-QB4-34B;1,0;4250,0;4250,0
Respublika;НФНФ-W04666;08.03.2026 14:29:27;Комплект Бюстгальтер балконет & Трусики Liesel;жовтий 36D M;11278298-YEL-36DM;1,0;3990,0;3990,0
Respublika;НФНФ-W04680;08.03.2026 16:34:11;Бюстгальтер пуш-ап Rose Lace Very Sexy;червоний, 36, C;419-226-QG4-36C;1,0;3490,0;3490,0
Respublika;НФНФ-W04692;08.03.2026 19:07:34;Бюстгальтер пуш-ап So Obsessed Very Sexy;Коричневий, 34, C;428-679-QD6-34C;1,0;3490,0;3490,0
Respublika;НФНФ-W04703;09.03.2026 17:11:37;Бюстгальтер демі Shine Strap Lightly Lined;Чорний, 34, D;910-021-QB4-34D;1,0;4250,0;4250,0
Respublika;НФНФ-W04709;09.03.2026 20:58:03;Бюстгальтер бралєт Triangle Shine Very Sexy;Бежевий, M;422-144-SEQ-M;1,0;2990,0;2990,0
Respublika;НФНФ-W04714;10.03.2026 16:01:43;Бюстгальтер пуш-ап VS Shine;Зелений, 34, C;904-542-QG6-34C;1,0;4250,0;3400,0
Respublika;НФНФ-W04741;12.03.2026 15:42:27;Бюстгальтер пуш-ап Perfect Shape The T-shirt;Бежевий, 32, A;417-619-SEQ-32A;1,0;2990,0;2990,0
Respublika;НФНФ-W04754;12.03.2026 19:18:22;Бюстгальтер демі Smooth The T-shirt;Бежевий, 34, DDD;417-596-SER-34DDD;1,0;2750,0;2750,0
Respublika;НФНФ-W04786;13.03.2026 21:04:24;Бюстгальтер пуш-ап Wear Everywhere;Бежевий, 34, B;361-916-SH9-34B;1,0;2490,0;2490,0
River Mall;НФНФ-R30436;01.03.2026 15:43:33;Бюстьє-корсет Rose Lace Shimmer Very Sexy;чорний, S;431-195-S8A-S;1,0;5490,0;5490,0
River Mall;НФНФ-R30442;01.03.2026 17:16:25;Бюстгальтер демі без кісточок The T-Shirt;Бежевий, 34, B ;417-548-SH9-34B;1,0;2750,0;2750,0
River Mall;НФНФ-R30459;02.03.2026 16:21:12;Бюстгальтер пуш-ап Sparkle Crystal Shine Cradle;Бежевий, 34, B;431-022-QD6-34B;1,0;4250,0;3741,39
River Mall;НФНФ-R30484;05.03.2026 11:52:46;Бюстгалтер демі Unlined Tease;синій, 34, C;231-719-QNS-34C;1,0;2250,0;2250,0
River Mall;НФНФ-R30491;05.03.2026 19:07:15;Бюстгальтер пуш-ап Sparkle Crystal Shine Cradle;чорний, 34, C;431-022-QB4-34C;1,0;4250,0;4250,0
